,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,posting_month_name,is_senior,is_remote_friendly,is_llm_role,salary_tier,python_skill,cpp_skill,sql_skill,data_analysis_skill,cybersecurity_skill,statistics_skill,math_skill,nlp_skill,cv_skill,deep_learning_skill,ros_skill,cuda_skill,research_skill,comm_skill,leadership_skill
0,AI Agent Developer,AI Engineering,Senior (6-9 yrs),7,Master's,239000.0,155000,290000,Boston,USA,On-site,Startup (1-50),Finance,APIs|Planning Systems|Python|Cloud|SQL|Leadership,13.1,96,16.9,6.8,2026,3,March,Yes,No,Yes,Senior ($200-300k),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
1,Prompt Engineer,AI Engineering,Senior (6-9 yrs),2,Bachelor's,166000.0,90000,200000,London,UK,Hybrid,Enterprise (5000+),Finance,Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,5.4,82,11.6,6.2,2026,1,January,Yes,Yes,Yes,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2,LLM Engineer,AI Engineering,Senior (6-9 yrs),4,Associate's,360000.0,160000,300000,Seattle,USA,Fully Remote,Big Tech (FAANG+),Finance,Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,9.1,98,42.7,7.7,2026,1,January,Yes,Yes,Yes,Elite (>$300k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),3,Bachelor's,161000.0,130000,220000,Singapore,Singapore,Fully Remote,SME (51-500),Technology,Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,12.0,88,6.7,9.5,2026,3,March,Yes,Yes,No,Upper-Mid ($150-200k),Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No
4,AI Product Manager,Product,Lead (10+ yrs),5,Bootcamp/Self-taught,283000.0,140000,260000,Los Angeles,USA,Fully Remote,Enterprise (5000+),Automotive,Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,9.4,85,17.3,8.9,2026,1,January,Yes,Yes,No,Senior ($200-300k),No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
5,AI Agent Developer,AI Engineering,Entry (0-2 yrs),5,Bootcamp/Self-taught,155000.0,155000,290000,Chicago,USA,On-site,Enterprise (5000+),Government,Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,8.0,96,67.7,8.7,2026,1,January,No,No,Yes,Upper-Mid ($150-200k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
6,AI Security Engineer,Security,Mid (3-5 yrs),5,Master's,197000.0,140000,260000,Boston,USA,Fully Remote,Mid-size (501-5000),Manufacturing,Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,16.3,80,12.7,6.2,2026,1,January,No,Yes,No,Upper-Mid ($150-200k),Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
7,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),7,Master's,221000.0,180000,312000,Remote,Global,Fully Remote,Startup (1-50),Education,LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,12.5,96,33.1,6.2,2025,9,September,No,Yes,No,Senior ($200-300k),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
8,NLP Engineer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,145000.0,145000,290000,Bangalore,India,Hybrid,SME (51-500),Automotive,Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,8.1,91,79.4,8.2,2025,8,August,No,Yes,No,Mid ($100-150k),Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
9,Prompt Engineer,AI Engineering,Entry (0-2 yrs),4,Bootcamp/Self-taught,90000.0,90000,200000,Los Angeles,USA,On-site,Startup (1-50),Automotive,Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,6.1,82,15.5,7.1,2025,2,February,No,No,Yes,Entry (<$100k),Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
10,AI Solutions Architect,Architecture,Entry (0-2 yrs),7,Associate's,180000.0,180000,320000,Tokyo,Japan,On-site,Startup (1-50),Technology,Cloud|Python|Leadership|Enterprise Architecture|Cloud,8.0,84,14.8,9.5,2026,2,February,No,No,No,Upper-Mid ($150-200k),Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
